"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"2. Terms of Reference'","In broad terms, the ODL Business Plan Steering Committee is responsible for development of the'","-15.08","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"In broad terms, the ODL Business Plan Steering Committee is responsible for development of the'","business plan, securing sector support, and management of the planners and process. Specific'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"business plan, securing sector support, and management of the planners and process. Specific'","responsibilities include:'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"responsibilities include:'","2.1 developing a detailed business plan for the three-year implementation phase of the ODL, including'","-15.08","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"2.1 developing a detailed business plan for the three-year implementation phase of the ODL, including'","governance, management, funding model and structure, organizational structure, marketing,'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"governance, management, funding model and structure, organizational structure, marketing,'","staffing, and evaluation;'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"staffing, and evaluation;'","2.2 consulting with and reporting to stakeholder communities, to ensure open, consistent and two-way'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.2 consulting with and reporting to stakeholder communities, to ensure open, consistent and two-way'","communication, and to ensure meaningful opportunities for stakeholder input into decisionmaking;'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"communication, and to ensure meaningful opportunities for stakeholder input into decisionmaking;'","2.3 recruiting and managing the business planners;'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.3 recruiting and managing the business planners;'","2.4 defining terms of reference and resource parameters for business planners, and authorizing'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.4 defining terms of reference and resource parameters for business planners, and authorizing'","expenditures;'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"expenditures;'","2.5 serving as a focus group for business planners to test ideas;'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.5 serving as a focus group for business planners to test ideas;'","2.6 providing signoff for business planners at key decision points of business plan development;'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.6 providing signoff for business planners at key decision points of business plan development;'","2.7 securing commitment from library, government, and institutional stakeholders for implementation'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.7 securing commitment from library, government, and institutional stakeholders for implementation'","of the business plan;'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of the business plan;'","2.8 presenting the business plan to funders'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.8 presenting the business plan to funders'","2.9 undertaking advocacy efforts to promote the ODL to the broader communities including library'","-15.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2.9 undertaking advocacy efforts to promote the ODL to the broader communities including library'","and education communities.'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"and education communities.'","3. Membership'","-15.08","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"3. Membership'","Each of the four sectors, Schools, Colleges, Universities, and Public Libraries can appoint up to two'","-15.08","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"Each of the four sectors, Schools, Colleges, Universities, and Public Libraries can appoint up to two'","representatives to the steering committee'","-15.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"representatives to the steering committee'","3.1 Schools:'","0.42","5","9.96","9.96","0.0","1","0","0","0","0","0","0","0","0","1",""
"3.1 Schools:'","Ontario School Library Association OSLA and The Association of Library Consultants and'","-0.04","0","9.96","9.96","0.0","1","1","0","1","0","1","0","0","0","1",""
"Ontario School Library Association OSLA and The Association of Library Consultants and'","Coordinators of Ontario TALCO  Executive Council of OSLA to name representative in'","-1.81","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"Coordinators of Ontario TALCO  Executive Council of OSLA to name representative in'","consultation with TALCO'","-1.81","0","9.96","9.96","0.0","0","0","1","1","1","1","0","0","0","1",""
"consultation with TALCO'","3.2 Universities:'","-1.81","0","9.96","9.96","0.0","0","0","0","1","1","1","0","0","0","1",""
"3.2 Universities:'","Ontario Council of University Libraries OCUL  OCUL to name'","-0.04","0","9.96","9.96","0.0","1","1","0","1","1","1","0","0","0","1",""
"Ontario Council of University Libraries OCUL  OCUL to name'","3.3 Colleges:'","-0.92","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"3.3 Colleges:'","Bibliocentre, and Heads of Libraries and Learning Resources UAG and HLLR to name'","-0.04","0","9.96","9.96","0.0","1","1","0","1","1","1","0","0","0","1",""
"Bibliocentre, and Heads of Libraries and Learning Resources UAG and HLLR to name'","3.4 Public libraries:'","-0.92","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"3.4 Public libraries:'","Administrators of Medium-sized Public Libraries of Ontario AMPLO, Administrators of Rural'","-0.04","31","9.96","9.96","0.0","1","1","0","0","1","1","0","0","0","1",""
"Administrators of Medium-sized Public Libraries of Ontario AMPLO, Administrators of Rural'","Urban Public Libraries of Ontario ARUPLO, Administrators of Small Public Libraries of'","-1.81","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"Urban Public Libraries of Ontario ARUPLO, Administrators of Small Public Libraries of'","Ontario ASPLO and Chief Executives of Large-sized Public Libraries of Ontario CELPLO'","-1.81","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"Ontario ASPLO and Chief Executives of Large-sized Public Libraries of Ontario CELPLO'","Executives of AMPLO, ARUPLO, ASPLO and CELPLO to name'","-1.81","0","9.96","9.96","0.0","1","0","0","1","1","1","0","0","0","1",""
"Executives of AMPLO, ARUPLO, ASPLO and CELPLO to name'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 11'","1.58","-36","9.96","7.56","-2.4","0","0","0","0","1","0","0","0","0","1",""
"3.5 Ontario Library Association representative ex-officio  OLA to appoint one representative'","Role of the OLA ex-officio member: To act as a liaison between the steering committee and'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Role of the OLA ex-officio member: To act as a liaison between the steering committee and'","the OLA Board, and to assist the chair with the administrative responsibilities connected with'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"the OLA Board, and to assist the chair with the administrative responsibilities connected with'","the preparation of the business plan, finance, and communications.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"the preparation of the business plan, finance, and communications.'","3.6 It is anticipated that as planning for the ODL evolves, the Steering Committee may, at its'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"3.6 It is anticipated that as planning for the ODL evolves, the Steering Committee may, at its'","discretion, call on invited experts to advise on issues as required.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"discretion, call on invited experts to advise on issues as required.'","4. Appointment Criteria and Process'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"4. Appointment Criteria and Process'","4.1 Groups and organizations named in Section 3 above are responsible for appointing up to two'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"4.1 Groups and organizations named in Section 3 above are responsible for appointing up to two'","representatives to the Steering Committee.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"representatives to the Steering Committee.'","4.2 Desired characteristics for steering committee appointees include:'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"4.2 Desired characteristics for steering committee appointees include:'","Strategic thinkers;'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"Strategic thinkers;'","Committed to the concept of multi-sector partnerships;'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Committed to the concept of multi-sector partnerships;'","Knowledgeable about digital libraries and resources;'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Knowledgeable about digital libraries and resources;'","Knowledgeable about government structures;'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Knowledgeable about government structures;'","Respected by their communities; influential;'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Respected by their communities; influential;'","Able to take a consultative approach;'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Able to take a consultative approach;'","Able to devote time to Steering Committee business: approximately one day per month for'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Able to devote time to Steering Committee business: approximately one day per month for'","meetings plus 2-3 working days per month on related activities .'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"meetings plus 2-3 working days per month on related activities .'","5. Term'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"5. Term'","Expected term on the Steering Committee is the time required to complete development of the'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"Expected term on the Steering Committee is the time required to complete development of the'","business plan plus two months. This process is expected to take approximately 6 months.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"business plan plus two months. This process is expected to take approximately 6 months.'","6. Chair'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"6. Chair'","Chair will be appointed by the Board of the Ontario Library Association.'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"Chair will be appointed by the Board of the Ontario Library Association.'","Role of the Chair:'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"Role of the Chair:'","In addition to the characteristics for appointees 4.2 the role of the chair will be as a process agent'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"In addition to the characteristics for appointees 4.2 the role of the chair will be as a process agent'","working with the selected consultants, OLA, and the Steering Committee to prepare the business'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"working with the selected consultants, OLA, and the Steering Committee to prepare the business'","plan. The chair must be able to devote 5-8 days per month on activities related to the preparation of'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"plan. The chair must be able to devote 5-8 days per month on activities related to the preparation of'","the business plan, and communications to stakeholders, funders, and government.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"the business plan, and communications to stakeholders, funders, and government.'","7. Meetings'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"7. Meetings'","It is expected that in person meetings are held once per month and the majority of business will be'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"It is expected that in person meetings are held once per month and the majority of business will be'","conducted by e-mail, and teleconference.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"conducted by e-mail, and teleconference.'","8. Lines of Accountability and Communication'","-56.0","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"8. Lines of Accountability and Communication'","8.1 The Steering Committee is accountable to the Province of Ontario, and to its business plan'","-56.0","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"8.1 The Steering Committee is accountable to the Province of Ontario, and to its business plan'","funders.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"funders.'","8.2 The role of the Ontario Library Association is to assume responsibility for funds contributed by the'","-56.0","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"8.2 The role of the Ontario Library Association is to assume responsibility for funds contributed by the'","ODL funders to finance the business plan, to hold the funds in a separate account, and'","-56.0","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"ODL funders to finance the business plan, to hold the funds in a separate account, and'","disperse them for purposes as directed by the Steering Committee. OLA will provide'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"disperse them for purposes as directed by the Steering Committee. OLA will provide'","financial reports to the Steering Committee as requested and shall comply with all'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"financial reports to the Steering Committee as requested and shall comply with all'","government reporting regulations for funds received.'","-56.0","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"government reporting regulations for funds received.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 12'","-56.0","0","9.96","7.56","-2.4","0","1","0","1","0","0","0","0","0","1",""
"8.3 The Steering Committee is accountable to its constituent groups and other stakeholders for'","ongoing communications and consultation on issues and progress. The Steering committee'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"ongoing communications and consultation on issues and progress. The Steering committee'","is responsible for strong liaison with government particularly the Chief Information Officer'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"is responsible for strong liaison with government particularly the Chief Information Officer'","Community Services Cluster, ADM’s and Deputy Ministers.'","-55.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"Community Services Cluster, ADM’s and Deputy Ministers.'","9. Financial and Administrative Policies'","-55.08","0","9.96","9.96","0.0","0","1","0","1","0","0","0","0","0","1",""
"9. Financial and Administrative Policies'","9.1 Service on the Steering Committee is non-remunerative'","-55.08","0","9.96","9.96","0.0","0","0","0","1","0","0","0","0","0","1",""
"9.1 Service on the Steering Committee is non-remunerative'","9.2 Travel and meeting expenses for Steering Committee members are reimbursed according to the'","-55.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"9.2 Travel and meeting expenses for Steering Committee members are reimbursed according to the'","policies of the Ontario Library Association'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"policies of the Ontario Library Association'","9.3 Conflict of Interest:'","-55.08","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"9.3 Conflict of Interest:'","The ODL Steering Committee will function according to standard conflict of interest guidelines'","-55.08","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"The ODL Steering Committee will function according to standard conflict of interest guidelines'","ensuring that members, their immediate family members, or their places of employment, will'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"ensuring that members, their immediate family members, or their places of employment, will'","not benefit financially from the decisions the Steering Committee might make. As a first'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"not benefit financially from the decisions the Steering Committee might make. As a first'","order of business, the Steering Committee will be expected to adopt a conflict of interest policy'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"order of business, the Steering Committee will be expected to adopt a conflict of interest policy'","statement and procedural guidelines that will govern its work.'","-55.08","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"statement and procedural guidelines that will govern its work.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 13'","-55.08","0","9.96","7.56","-2.4","0","1","0","1","0","0","0","0","0","1",""
"Appendix C: ODL’s Envisioned Electronic Resources'","The purpose of the ODL is to provide equal access to information for all Ontario citizens through'","1.0","-6","12.0","9.96","-2.04","0","0","0","0","1","0","0","0","0","1",""
"The purpose of the ODL is to provide equal access to information for all Ontario citizens through'","collaboration and resource sharing. ODL will be a portal - capable of customization as'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"collaboration and resource sharing. ODL will be a portal - capable of customization as'","a home page for local libraries - to organized, comprehensive, authoritative and validated'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"a home page for local libraries - to organized, comprehensive, authoritative and validated'","e-information resources to meet the needs of all Ontario citizens at all stages and in all aspects'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"e-information resources to meet the needs of all Ontario citizens at all stages and in all aspects'","of their education, life and work. Some examples:'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"of their education, life and work. Some examples:'","1. Reference Resources'","-23.38","0","9.96","9.96","0.0","1","1","0","1","0","0","0","0","0","1",""
"1. Reference Resources'","directories: companies, associations, organizations, governments, educational institutions,'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"directories: companies, associations, organizations, governments, educational institutions,'","etc. etc.'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"etc. etc.'","almanacs, country information'","-23.38","0","9.96","9.96","0.0","1","1","1","1","0","0","0","0","0","1",""
"almanacs, country information'","dictionaries, thesauri, encyclopedias'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"dictionaries, thesauri, encyclopedias'","consumer information'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"consumer information'","phone books,'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"phone books,'","travel guides, entertainment guides'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"travel guides, entertainment guides'","weather information'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"weather information'","media/newspapers'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"media/newspapers'","leisure time, recreational activity guides'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"leisure time, recreational activity guides'","indexing and abstracting services'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"indexing and abstracting services'","currency converters,'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"currency converters,'","virtual reference services'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"virtual reference services'","vocational/career information'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"vocational/career information'","internet search engines'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"internet search engines'","current awareness services'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"current awareness services'","2. Subject Guides'","-23.38","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"2. Subject Guides'","arts and humanities'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"arts and humanities'","business and economics'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"business and economics'","education'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"education'","recreation and sports'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"recreation and sports'","entertainment - games, activities for kids'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"entertainment - games, activities for kids'","health information'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"health information'","science and technology'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"science and technology'","social sciences'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"social sciences'","society and culture'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"society and culture'","3. Educational tool-kits'","-23.38","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"3. Educational tool-kits'","guides to information gathering methodologies, information literacy'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"guides to information gathering methodologies, information literacy'","study guides'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"study guides'","study skill development'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"study skill development'","web-based curricula'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"web-based curricula'","internet search guides'","-23.38","0","9.96","9.96","0.0","1","0","1","1","0","0","0","0","0","1",""
"internet search guides'","4. Journals, books, maps, music etc.'","-23.38","0","9.96","9.96","0.0","1","0","0","1","0","0","0","0","0","1",""
"4. Journals, books, maps, music etc.'","RFP: To Develop the Ontario Digital Library Business Plan March 2003 14'","-23.38","0","9.96","7.56","-2.4","0","1","0","1","0","0","0","0","0","1",""
